dataset,method,query_id,k,matches,elapsed_ms,status,ts
sentiment,sed_topdiff_within,61,31,174,148.567,ok,2026-07-15T19:57:21+02:00
sentiment,sed_topdiff_within,62,30,115,128.263,ok,2026-07-15T19:57:21+02:00
sentiment,sed_topdiff_within,63,30,112,125.293,ok,2026-07-15T19:57:21+02:00
sentiment,sed_topdiff_within,64,30,71,118.834,ok,2026-07-15T19:57:21+02:00
sentiment,sed_topdiff_within,65,31,93,121.142,ok,2026-07-15T19:57:21+02:00
sentiment,sed_topdiff_within,66,30,88,119.088,ok,2026-07-15T19:57:21+02:00
sentiment,sed_topdiff_within,67,29,83,108.255,ok,2026-07-15T19:57:21+02:00
sentiment,sed_topdiff_within,68,30,72,134.522,ok,2026-07-15T19:57:22+02:00
sentiment,sed_topdiff_within,69,30,86,133.749,ok,2026-07-15T19:57:22+02:00
sentiment,sed_topdiff_within,70,30,94,129.178,ok,2026-07-15T19:57:22+02:00
sentiment,sed_topdiff_within,71,31,104,122.482,ok,2026-07-15T19:57:22+02:00
sentiment,sed_topdiff_within,72,30,112,164.879,ok,2026-07-15T19:57:22+02:00
sentiment,sed_topdiff_within,73,30,80,123.467,ok,2026-07-15T19:57:22+02:00
sentiment,sed_topdiff_within,74,30,96,123.542,ok,2026-07-15T19:57:23+02:00
sentiment,sed_topdiff_within,75,31,71,135.358,ok,2026-07-15T19:57:23+02:00
sentiment,sed_topdiff_within,76,31,101,137.915,ok,2026-07-15T19:57:23+02:00
sentiment,sed_topdiff_within,77,30,60,120.775,ok,2026-07-15T19:57:23+02:00
sentiment,sed_topdiff_within,78,30,147,144.128,ok,2026-07-15T19:57:23+02:00
sentiment,sed_topdiff_within,79,30,127,154.568,ok,2026-07-15T19:57:23+02:00
sentiment,sed_topdiff_within,80,30,76,140.099,ok,2026-07-15T19:57:23+02:00
sentiment,sed_topdiff_within,81,29,68,113.424,ok,2026-07-15T19:57:24+02:00
sentiment,sed_topdiff_within,82,30,103,134.725,ok,2026-07-15T19:57:24+02:00
sentiment,sed_topdiff_within,83,30,67,133.010,ok,2026-07-15T19:57:24+02:00
sentiment,sed_topdiff_within,84,30,95,123.576,ok,2026-07-15T19:57:24+02:00
sentiment,sed_topdiff_within,85,30,86,113.423,ok,2026-07-15T19:57:24+02:00
sentiment,sed_topdiff_within,86,30,100,119.656,ok,2026-07-15T19:57:24+02:00
sentiment,sed_topdiff_within,87,31,183,152.631,ok,2026-07-15T19:57:24+02:00
sentiment,sed_topdiff_within,88,30,111,139.386,ok,2026-07-15T19:57:25+02:00
sentiment,sed_topdiff_within,89,30,111,155.074,ok,2026-07-15T19:57:25+02:00
sentiment,sed_topdiff_within,90,30,79,122.148,ok,2026-07-15T19:57:25+02:00
sentiment,sed_topdiff_within,91,30,96,128.767,ok,2026-07-15T19:57:25+02:00
sentiment,sed_topdiff_within,92,30,71,120.056,ok,2026-07-15T19:57:25+02:00
sentiment,sed_topdiff_within,93,30,82,124.964,ok,2026-07-15T19:57:25+02:00
sentiment,sed_topdiff_within,94,29,74,113.163,ok,2026-07-15T19:57:26+02:00
sentiment,sed_topdiff_within,95,30,139,156.186,ok,2026-07-15T19:57:26+02:00
sentiment,sed_topdiff_within,96,30,74,116.250,ok,2026-07-15T19:57:26+02:00
sentiment,sed_topdiff_within,97,30,79,126.966,ok,2026-07-15T19:57:26+02:00
sentiment,sed_topdiff_within,98,30,76,117.791,ok,2026-07-15T19:57:26+02:00
sentiment,sed_topdiff_within,99,30,157,138.126,ok,2026-07-15T19:57:26+02:00
sentiment,sed_plain_topdiff_within,0,30,126,259.466,ok,2026-07-15T19:57:26+02:00
sentiment,sed_plain_topdiff_within,1,30,196,298.837,ok,2026-07-15T19:57:27+02:00
sentiment,sed_plain_topdiff_within,2,30,122,262.602,ok,2026-07-15T19:57:27+02:00
sentiment,sed_plain_topdiff_within,3,29,88,184.279,ok,2026-07-15T19:57:27+02:00
sentiment,sed_plain_topdiff_within,4,30,192,283.881,ok,2026-07-15T19:57:28+02:00
sentiment,sed_plain_topdiff_within,5,30,105,231.185,ok,2026-07-15T19:57:28+02:00
sentiment,sed_plain_topdiff_within,6,30,150,273.320,ok,2026-07-15T19:57:28+02:00
sentiment,sed_plain_topdiff_within,7,30,123,255.232,ok,2026-07-15T19:57:28+02:00
sentiment,sed_plain_topdiff_within,8,30,102,239.238,ok,2026-07-15T19:57:29+02:00
sentiment,sed_plain_topdiff_within,9,29,88,214.916,ok,2026-07-15T19:57:29+02:00
sentiment,sed_plain_topdiff_within,10,30,125,225.993,ok,2026-07-15T19:57:29+02:00
sentiment,sed_plain_topdiff_within,11,30,118,229.269,ok,2026-07-15T19:57:29+02:00
sentiment,sed_plain_topdiff_within,12,29,83,212.141,ok,2026-07-15T19:57:30+02:00
sentiment,sed_plain_topdiff_within,13,29,72,179.561,ok,2026-07-15T19:57:30+02:00
sentiment,sed_plain_topdiff_within,14,30,106,244.379,ok,2026-07-15T19:57:30+02:00
sentiment,sed_plain_topdiff_within,15,30,167,254.656,ok,2026-07-15T19:57:30+02:00
sentiment,sed_plain_topdiff_within,16,30,186,273.002,ok,2026-07-15T19:57:31+02:00
sentiment,sed_plain_topdiff_within,17,30,117,234.617,ok,2026-07-15T19:57:31+02:00
sentiment,sed_plain_topdiff_within,18,30,99,250.913,ok,2026-07-15T19:57:31+02:00
sentiment,sed_plain_topdiff_within,19,29,97,190.100,ok,2026-07-15T19:57:31+02:00
sentiment,sed_plain_topdiff_within,20,30,121,215.359,ok,2026-07-15T19:57:32+02:00
sentiment,sed_plain_topdiff_within,21,30,122,255.764,ok,2026-07-15T19:57:32+02:00
sentiment,sed_plain_topdiff_within,22,30,67,206.169,ok,2026-07-15T19:57:32+02:00
sentiment,sed_plain_topdiff_within,23,30,93,195.008,ok,2026-07-15T19:57:32+02:00
sentiment,sed_plain_topdiff_within,24,30,161,233.623,ok,2026-07-15T19:57:33+02:00
sentiment,sed_plain_topdiff_within,25,31,141,282.532,ok,2026-07-15T19:57:33+02:00
sentiment,sed_plain_topdiff_within,26,30,68,215.623,ok,2026-07-15T19:57:33+02:00
sentiment,sed_plain_topdiff_within,27,30,80,156.376,ok,2026-07-15T19:57:33+02:00
sentiment,sed_plain_topdiff_within,28,31,143,241.210,ok,2026-07-15T19:57:34+02:00
sentiment,sed_plain_topdiff_within,29,31,128,228.355,ok,2026-07-15T19:57:34+02:00
sentiment,sed_plain_topdiff_within,30,30,109,280.503,ok,2026-07-15T19:57:34+02:00
sentiment,sed_plain_topdiff_within,31,30,81,222.765,ok,2026-07-15T19:57:34+02:00
sentiment,sed_plain_topdiff_within,32,30,85,196.270,ok,2026-07-15T19:57:35+02:00
sentiment,sed_plain_topdiff_within,33,31,109,255.181,ok,2026-07-15T19:57:35+02:00
sentiment,sed_plain_topdiff_within,34,30,98,168.666,ok,2026-07-15T19:57:35+02:00
sentiment,sed_plain_topdiff_within,35,30,82,212.437,ok,2026-07-15T19:57:35+02:00
sentiment,sed_plain_topdiff_within,36,30,90,190.480,ok,2026-07-15T19:57:36+02:00
sentiment,sed_plain_topdiff_within,37,30,67,191.715,ok,2026-07-15T19:57:36+02:00
